url,rental_type,guests,bedrooms,beds,baths,latitude,longitude,host_name,superhost,years_hosting
https://www.airbnb.com/rooms/1147071899759295272,Entire guesthouse,3,1,2,1,32.07324,-81.0883,Sam Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1147212330322085686,Entire rental unit,4,1,2,1,32.073,-81.0879,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1147220054833840127,Entire townhouse,8,4,4,3,32.2141,-81.1941,Brandon Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1147817335109913101,Entire home,6,3,3,2,32.08551,-81.25124,Dr Tommy Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1147901541811010024,Entire home,6,4,3,2,32.0364,-81.0632,Brent 2 years hosting,,2
https://www.airbnb.com/rooms/1148794249197564779,Entire home,4,3,,2,32.1387,-81.3102,Laura 2 years hosting,,2
https://www.airbnb.com/rooms/1149166716093257521,Entire home,2,1,1,1,32.0728,-81.0879,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1149166718125260971,Entire townhouse,12,5,6,4,32.07189,-81.08725,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1149168721705462885,Entire townhouse,4,1,2,1,32.0729,-81.0875,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1149169229163090596,Entire townhouse,4,1,2,1,32.0728,-81.0876,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1149169299169045858,Entire townhouse,16,5,9,4,32.0729,-81.0875,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1152120355292044939,Entire home,16,4,9,3,32.0193,-80.9763,Dylan Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1156020631418148610,Entire home,6,3,3,2,32.04003,-81.01376,Ishell Superhost · 3 years hosting,Superhost,3
